"","dtract","x","y","X","Estimate..Total.","Margin.of.Error..Total.","Estimate..Total....Retail.trade"
"124",114.01,-122.36202789,47.52970616,124,2223,204,265
"125",114.02,-122.36462532,47.5206653,125,2133,233,233
"126",115,-122.37553298,47.53018363,126,2430,177,297
"127",116,-122.39078662,47.5290566,127,3835,386,207
"128",117,-122.28285138,47.52017228,128,2906,362,314
"129",118,-122.2590323,47.52314388,129,3303,453,306
"130",119,-122.25196737,47.50845637,130,3456,363,536
"131",120,-122.38068086,47.51292907,131,2024,143,285
"132",121,-122.38699988,47.5067829,132,1561,128,201
"133",201,-122.38723214,47.77079321,133,1401,129,135
"134",202,-122.36335964,47.77166834,134,2604,242,226
"135",203,-122.340575,47.77050097,135,3487,410,304
"136",204.01,-122.31954127,47.77081699,136,1761,205,246
"137",204.02,-122.29702729,47.76951022,137,2868,320,393
"138",205,-122.31380587,47.7562527,138,3105,314,294
"139",206,-122.33210025,47.7560216,139,1896,198,202
"140",207,-122.34732279,47.75616393,140,2041,289,225
"141",208,-122.37169669,47.75825961,141,1844,164,153
"142",209,-122.36468144,47.7428827,142,1645,303,88
"143",210,-122.33450287,47.74140627,143,2688,246,391
"144",211,-122.31288544,47.7412056,144,2275,208,223
"145",213,-122.28697043,47.74008142,145,1959,257,265
"146",214,-122.29101624,47.75361856,146,1943,166,159
"147",215,-122.27508955,47.76488643,147,2382,207,208
"148",216,-122.25802735,47.76675386,148,2478,238,293
"149",217,-122.23518675,47.76413183,149,4151,370,536
"150",218.02,-122.17274,47.76737788,150,2787,318,334
"151",218.03,-122.21442447,47.76441654,151,2209,217,374
"152",218.04,-122.1963741,47.76570328,152,2293,205,316
"153",219.03,-122.17812993,47.71792497,153,2616,274,296
"154",219.04,-122.16161548,47.72293361,154,2481,166,307
"155",219.05,-122.18142388,47.74317079,155,2747,326,295
"156",219.06,-122.16465773,47.74058154,156,2268,227,185
"157",220.01,-122.19892036,47.74514435,157,2226,313,202
"158",220.03,-122.19824133,47.72573118,158,2508,179,265
"159",220.05,-122.19390705,47.71161992,159,2569,224,158
"160",220.06,-122.1992671,47.70433923,160,1879,163,133
"161",221.01,-122.25598512,47.74322624,161,2274,229,204
"162",221.02,-122.22590542,47.74240618,162,2919,232,305
"163",222.01,-122.23204685,47.72634045,163,2183,158,323
"164",222.02,-122.21433214,47.72069038,164,3927,353,557
"165",222.03,-122.2260092,47.70787965,165,2570,186,253
"166",223,-122.25005201,47.71408685,166,1231,160,69
"167",224,-122.21134766,47.68593343,167,4273,290,291
"168",225,-122.1930279,47.68020644,168,3918,321,386
"169",226.03,-122.17298703,47.69501383,169,2571,294,308
"170",226.04,-122.17400168,47.67622799,170,1961,183,307
"171",226.05,-122.15574604,47.69146902,171,3380,320,351
"172",226.06,-122.1541693,47.66875217,172,2849,264,257
"173",227.01,-122.20578742,47.6539291,173,1327,149,114
"174",227.02,-122.19427459,47.65682028,174,1636,172,111
"175",227.03,-122.17584268,47.65729175,175,1122,109,79
"176",228.01,-122.15322097,47.64643219,176,4680,321,546
"177",228.02,-122.13500099,47.66339104,177,2612,234,207
"178",228.03,-122.13127156,47.64393376,178,2750,266,185
"179",229.01,-122.11839387,47.63660784,179,1508,161,126
"180",229.02,-122.10027113,47.63910606,180,3083,226,344
"181",230,-122.10136318,47.62057169,181,2675,264,326
"182",231,-122.10733451,47.60461997,182,1949,231,240
"183",232.01,-122.13754089,47.61860664,183,3070,282,273
"184",232.02,-122.12707276,47.61796357,184,2174,289,250
"185",233,-122.1284364,47.60025635,185,3341,365,448
"186",234.01,-122.14673155,47.58674892,186,1793,215,241
"187",234.03,-122.11318561,47.58066085,187,2108,183,260
"188",234.04,-122.08676874,47.56737859,188,1837,188,83
"189",235,-122.17286012,47.59138291,189,1694,157,169
"190",236.01,-122.17191388,47.61045896,190,1812,173,213
"191",236.03,-122.15080575,47.61739795,191,3189,433,295
"192",236.04,-122.15394923,47.59939013,192,3099,322,285
"193",237,-122.17370022,47.63271267,193,2053,155,298
"194",238.01,-122.18869821,47.59571093,194,1240,174,129
"195",238.03,-122.19785836,47.61925411,195,2138,330,151
"196",238.04,-122.19846592,47.61328047,196,3212,444,369
"197",239,-122.20060876,47.58303591,197,3370,463,350
"198",240,-122.2036205,47.62723242,198,3869,370,539
"199",241,-122.22072297,47.63953348,199,1839,125,219
"200",242,-122.23998024,47.63199465,200,1000,113,125
"201",243,-122.24640784,47.59005182,201,3450,310,258
"202",244,-122.21732748,47.5811482,202,1298,147,181
"203",245,-122.21989944,47.56637726,203,2224,193,131
"204",246.01,-122.22428584,47.54874028,204,1783,181,111
"205",246.02,-122.22833068,47.53151341,205,1589,131,69
"206",247.01,-122.18085882,47.56147865,206,1900,209,195
"207",247.02,-122.18846117,47.53489195,207,3842,277,523
"208",248,-122.15210087,47.57439074,208,2538,279,173
"209",249.01,-122.15751856,47.56330348,209,2180,175,285
"210",249.02,-122.13371789,47.56536979,210,1877,198,186
"211",249.03,-122.14125917,47.55084982,211,3097,218,253
"212",250.01,-122.16950344,47.53781438,212,2549,255,319
"213",250.03,-122.10810355,47.55672033,213,3589,278,319
"214",250.05,-122.14668802,47.53068299,214,2361,248,173
"215",250.06,-122.09868346,47.5269237,215,2840,329,145
"216",251.01,-122.15499558,47.50939236,216,3040,340,375
"217",251.02,-122.14072444,47.4980985,217,4156,326,411
"218",252,-122.18273538,47.51068859,218,4551,466,491
"219",253.01,-122.20514871,47.50914642,219,2579,340,299
"220",253.02,-122.21517678,47.49464183,220,2615,408,396
"221",254,-122.18390867,47.4945394,221,3803,404,307
"222",255,-122.16996192,47.49707258,222,2650,331,385
"223",256.01,-122.17486898,47.48275256,223,2758,276,259
"224",256.02,-122.14888113,47.47771334,224,3278,272,276
"225",257.01,-122.19139538,47.47160373,225,2840,281,408
"226",257.02,-122.16465061,47.46383469,226,1788,223,123
"227",258.03,-122.17845706,47.45038968,227,2227,260,300
"228",258.04,-122.16917048,47.45476471,228,1841,296,176
"229",258.05,-122.1937966,47.45468623,229,2151,233,345
"230",258.06,-122.20969279,47.45464299,230,2549,284,305
"231",260.01,-122.23623205,47.49902754,231,3194,299,426
"232",260.02,-122.22830078,47.48586812,232,3750,492,507
"233",261,-122.25009745,47.4896013,233,3258,465,459
"234",262,-122.24331994,47.46058816,234,2738,304,195
"235",263,-122.28922218,47.51007173,235,595,143,9
"236",264,-122.31185499,47.51017969,236,2695,377,322
"237",265,-122.3374648,47.51280235,237,1824,243,227
"238",266,-122.36326807,47.51284601,238,1302,194,153
"239",267,-122.3635404,47.49735501,239,2718,355,188
"240",268.01,-122.34374603,47.507249,240,2757,390,301
"241",268.02,-122.34374175,47.49768841,241,1980,285,249
"242",270,-122.32282774,47.4972552,242,1744,219,228
"243",271,-122.29984499,47.49203871,243,1445,285,83
"244",272,-122.28112798,47.48728784,244,1185,178,137
"245",273,-122.30024593,47.47968462,245,2749,284,160
"246",274,-122.32361121,47.48273306,246,2316,292,377
"247",275,-122.34117211,47.48163617,247,2219,269,274
"248",276,-122.36185156,47.4756788,248,1953,222,138
"249",277.01,-122.47489647,47.45290942,249,3504,403,412
"250",277.02,-122.4676414,47.37729172,250,2485,370,169
"251",278,-122.36758603,47.45246594,251,1274,166,81
"252",279,-122.34773637,47.46422563,252,3413,351,361
"253",280,-122.32392171,47.46662818,253,1798,310,266
"254",281,-122.29912101,47.46868942,254,1039,158,63
"255",282,-122.27703675,47.46579737,255,2056,267,231
"256",283,-122.26989086,47.43096283,256,2568,271,243
"257",284.02,-122.30303672,47.4501494,257,2296,280,239
"258",284.03,-122.28412724,47.43967781,258,2210,329,367
"259",285,-122.32642916,47.445049,259,1960,201,252
"260",286,-122.34528775,47.43321925,260,3084,235,318
"261",287,-122.32780163,47.42124004,261,2586,252,229
"262",288.01,-122.3086054,47.42069472,262,1312,249,202
"263",288.02,-122.28805559,47.42500763,263,2978,452,373
"264",289.01,-122.3203112,47.40299424,264,1878,249,228
"265",289.02,-122.30176369,47.39940886,265,2842,402,277
"266",290.01,-122.32217155,47.38450479,266,2216,192,226
"267",290.03,-122.30575336,47.3824994,267,2866,363,205
"268",290.04,-122.29686494,47.37990309,268,1515,226,183
"269",291.01,-122.28050198,47.39644729,269,1493,190,234
"270",291.02,-122.28410521,47.37992583,270,1859,180,339
"271",292.03,-122.23137033,47.38627466,271,1056,155,234
"272",292.04,-122.21668244,47.39927331,272,3532,320,279
"273",292.05,-122.26312148,47.38831003,273,2544,502,272
"274",292.06,-122.24354444,47.41319538,274,1685,299,129
"275",293.03,-122.20141548,47.43689061,275,4103,378,793
"276",293.04,-122.17012661,47.43810385,276,2801,331,433
