"","dtract","x","y","X","Estimate..Total.","Margin.of.Error..Total.","Estimate..Total....Retail.trade"
"498",522.09,-121.99908229,47.83957707,1014,911,177,167
"499",523.01,-122.01876353,47.96103948,1022,2247,190,244
"500",523.02,-122.03220877,47.91199898,1032,1761,178,268
"501",524.01,-122.09321927,47.92673491,1042,1958,193,325
"502",524.02,-122.08905355,47.91465044,1052,1870,189,304
"503",525.02,-122.11846075,47.93585473,1062,1902,225,212
"504",525.03,-122.11601954,47.98650034,1072,3191,272,424
"505",525.04,-122.11131222,47.96583725,1082,1112,142,122
"506",526.03,-122.08213346,48.03285346,1092,1264,192,327
"507",526.04,-122.09355923,47.99731909,1103,1904,297,165
"508",526.05,-122.06711156,48.02061074,1114,3105,357,305
"509",526.06,-122.05237054,48.00606601,1122,2371,237,162
"510",526.07,-122.07449851,47.96882783,1132,2964,277,433
"511",527.01,-122.11859698,48.12452945,1142,799,138,112
"512",527.05,-122.10250447,48.05445906,1152,3997,339,532
"513",527.06,-122.1211569,48.00868829,1162,2842,258,310
"514",527.07,-122.11499417,48.02616806,1172,1917,237,171
"515",527.08,-122.13010678,48.0626288,1182,2627,279,239
"516",527.09,-122.09859071,48.0899368,1192,1736,191,247
"517",528.03,-122.16386991,48.13346901,1202,2187,295,197
"518",528.04,-122.16016757,48.10459572,1214,3373,380,581
"519",528.05,-122.17453842,48.08592044,1222,2045,195,373
"520",528.06,-122.15113146,48.08341808,1232,3084,300,197
"521",529.03,-122.17238388,48.05225377,1242,1684,203,299
"522",529.04,-122.15188307,48.0523677,1252,2465,306,478
"523",529.05,-122.17337716,48.06746894,1262,1933,217,336
"524",529.06,-122.15367564,48.069198,1272,2020,235,364
"525",531.01,-122.23332214,48.1730242,1282,1702,236,243
"526",531.02,-122.23759171,48.13818306,1292,2071,265,282
"527",532.01,-122.33150585,48.19436078,1302,1774,220,215
"528",532.02,-122.3303404,48.14285759,1314,2143,217,237
"529",533.01,-122.36369345,48.25838367,1322,2651,257,299
"530",533.02,-122.27927834,48.25055042,1332,2780,378,393
"531",534,-122.1380748,48.25721083,1342,2568,255,310
"532",535.04,-122.11051205,48.17802011,1352,2837,261,188
"533",535.05,-122.05305471,48.13067336,1362,2533,300,266
"534",535.06,-121.96734907,48.20169812,1372,2879,255,278
"535",535.07,-122.12985659,48.16435778,1382,2190,252,186
"536",535.08,-122.16608828,48.18744223,1392,1602,240,127
"537",535.09,-122.16162256,48.16334064,1402,1664,280,97
"539",536.03,-122.01478609,48.04538325,1422,1927,234,182
"540",536.04,-122.00526984,48.08359649,1432,2207,269,228
"543",538.02,-121.82966069,47.86713762,1462,2465,224,335
"544",538.03,-121.6715388,47.91150543,1472,2430,295,362
"545",602,-122.40864063,47.26600749,1100,414,89,85
"546",603,-122.52443607,47.30808098,2101,2170,208,220
"547",604,-122.48597213,47.28990581,3100,2310,223,188
"548",605,-122.47606731,47.27528769,412,2138,225,251
"549",606,-122.45444306,47.27612036,512,2748,326,169
"550",607,-122.47852666,47.26137307,611,3457,394,328
"551",608,-122.49634649,47.26559653,711,2768,301,297
"552",609.03,-122.52813627,47.28201914,811,1559,230,174
"553",609.04,-122.50993139,47.28080525,911,2280,356,184
"554",609.05,-122.53247027,47.26707598,1011,2961,321,385
"555",609.06,-122.50981294,47.26329716,1111,988,140,128
"556",610.01,-122.54789036,47.25313015,1211,1632,182,200
"557",610.02,-122.52253185,47.24944029,1311,1997,334,162
"558",611,-122.49397706,47.2456721,1411,3101,304,400
"559",612,-122.47453315,47.24908431,1511,2519,297,216
"560",613,-122.45899654,47.25001563,1611,1884,225,125
"561",614,-122.44832645,47.25024374,1711,796,219,113
"562",615,-122.44945019,47.26219607,1811,2635,286,445
"563",616.01,-122.44023463,47.25422831,1911,696,152,60
"564",616.02,-122.43774297,47.24014828,2011,429,102,37
"565",617,-122.4578248,47.23868375,2111,1689,282,209
"566",618,-122.45182959,47.22678864,2211,943,156,68
"567",619,-122.43417084,47.22767352,2311,779,141,144
"568",620,-122.41871608,47.22894044,2411,1888,154,184
"569",623,-122.41678491,47.21422356,2511,1763,239,72
"570",624,-122.43377748,47.21452659,2611,2506,475,234
"571",625,-122.45220739,47.21493069,2711,4063,454,643
"572",626,-122.47611576,47.21974119,2811,1302,230,212
"573",628.01,-122.49717271,47.22424528,2911,2840,347,406
"574",628.02,-122.49644817,47.19401072,3011,1773,224,168
"575",629,-122.47862705,47.20032962,3111,2980,459,312
"576",630,-122.46777626,47.1971877,3211,1537,241,193
"577",631,-122.45185053,47.19907962,3311,1600,277,147
"578",632,-122.43216646,47.19899344,3411,2354,238,301
"579",633,-122.40869934,47.19902184,3511,3024,305,317
"580",634,-122.43145715,47.18096245,3611,2557,353,434
"581",635.01,-122.45240284,47.18638643,3711,1782,295,118
"582",635.02,-122.45255032,47.17559099,3811,2191,246,208
"584",702.03,-122.18256442,47.12443757,402,2741,282,422
"585",702.04,-122.12707654,47.13888015,413,1459,217,245
"586",702.05,-122.0896652,47.16180107,422,1593,141,193
"587",702.06,-122.08411624,47.11244442,432,1794,205,146
"588",702.07,-122.01180518,47.15012651,442,2176,267,279
"589",703.07,-122.12857445,47.21249798,452,2459,221,346
"590",703.08,-122.17948861,47.18488918,462,1858,183,285
"591",703.09,-122.14684131,47.18142508,472,2500,251,386
"592",703.1,-122.1645506,47.15989864,482,2623,234,420
"593",703.11,-122.13395979,47.15639503,492,2437,187,294
"594",703.12,-122.19816709,47.16991605,502,2747,247,408
"595",703.13,-122.19429438,47.20883008,513,2946,299,560
"596",703.14,-122.19308918,47.2287286,522,1466,257,221
"597",703.15,-122.17694812,47.24601866,532,2545,251,232
"598",703.16,-122.21566668,47.24655476,542,2864,274,500
"599",704.01,-122.22345135,47.16704575,552,965,117,106
"600",704.03,-122.20904551,47.0806953,562,1621,199,206
"601",704.04,-122.22139835,47.11072409,571,2120,210,146
"602",707.03,-122.31630037,47.24921275,581,2999,266,336
"603",711,-122.37754291,47.17129157,591,1124,150,122
"604",712.05,-122.34291316,47.18538956,601,1919,196,130
"605",712.06,-122.32626881,47.16224853,612,3049,343,526
"606",712.07,-122.27914076,47.15671633,621,2870,348,402
"607",712.08,-122.2792659,47.14062472,631,3110,388,755
"608",712.09,-122.26497217,47.16352561,641,2057,176,258
"609",712.1,-122.24562895,47.16999219,651,2213,180,122
"610",713.04,-122.30528441,47.13936433,661,2763,348,342
"611",713.05,-122.38463547,47.15065326,671,1658,164,112
"612",713.06,-122.37932382,47.12407376,681,2934,318,397
"613",713.07,-122.33604285,47.14747683,691,2095,198,305
"614",713.09,-122.34030863,47.11504343,701,1939,241,173
"615",713.1,-122.33831897,47.13070907,712,2569,277,252
"616",714.03,-122.44970971,47.11021491,721,1530,218,272
"617",714.06,-122.38004411,47.08239661,731,2719,329,413
"618",714.07,-122.35113429,47.06181872,741,2916,334,298
"619",714.08,-122.4204455,47.10982712,751,1803,223,149
"620",714.09,-122.41746137,47.10070526,761,2111,263,239
"621",714.1,-122.41994136,47.08576502,771,2738,398,335
"622",714.11,-122.40885564,47.07182421,781,1843,308,238
"623",715.03,-122.4515457,47.13342769,791,2778,386,298
"624",715.04,-122.44527897,47.1456889,801,2352,323,193
"625",715.05,-122.42356774,47.13237838,812,2422,283,322
"626",715.06,-122.40542439,47.12163404,821,2191,248,377
"627",716.01,-122.41004082,47.17976336,831,2015,249,270
"628",716.02,-122.41829788,47.15994263,841,2913,375,457
"629",717.03,-122.46318726,47.17102258,851,1325,250,105
"630",717.04,-122.46677166,47.16382154,861,1923,373,185
"631",717.05,-122.44339819,47.16416619,871,1466,214,265
"632",717.06,-122.46728528,47.1564996,881,716,159,64
"633",717.07,-122.44230654,47.15475337,891,1176,134,137
"634",718.03,-122.5078634,47.18472576,901,2318,359,221
"635",718.05,-122.50029155,47.15992678,912,1561,297,259
"636",718.06,-122.50535502,47.14438868,921,1429,229,243
"637",718.07,-122.49518134,47.16852359,931,1595,338,328
"638",718.08,-122.47511616,47.17808869,941,1203,228,297
"639",719.01,-122.51619652,47.15752879,951,1747,258,257
"640",719.02,-122.53652488,47.15315473,961,2162,327,340
"641",720,-122.54525129,47.12422653,971,1444,292,200
"642",721.05,-122.55726624,47.18829286,981,1931,272,204
"643",721.06,-122.53396028,47.18613607,991,2922,410,339
"644",721.07,-122.55873768,47.16687077,1001,1945,204,274
"645",721.08,-122.5568005,47.14557874,1012,2130,306,294
"646",721.09,-122.6159635,47.16948109,1021,1435,185,200
"647",721.11,-122.59084548,47.16616572,1031,1008,145,138
"648",721.12,-122.57736347,47.16055997,1041,1840,216,180
"649",723.05,-122.51583402,47.23111627,1051,2764,209,247
"650",723.07,-122.5529411,47.21654926,1061,1972,222,125
"651",723.08,-122.58084635,47.20243861,1071,3399,297,489
"652",723.09,-122.56227359,47.2309966,1081,2639,228,257
"653",723.1,-122.54356556,47.22958456,1091,1881,228,203
"654",723.11,-122.53118999,47.22974134,1101,1887,205,303
"655",723.12,-122.5203216,47.20428841,1112,2449,269,411
"656",723.13,-122.51743167,47.2136115,1121,1733,170,86
"657",724.05,-122.68015243,47.30235448,1131,1968,230,299
"658",724.06,-122.6314015,47.31151444,1141,2838,326,354
"659",724.07,-122.56415977,47.29899548,1151,1966,352,302
"660",724.08,-122.58372641,47.2790966,1161,2619,292,248
"661",724.09,-122.6185791,47.27943474,1171,1203,106,112
"662",724.1,-122.62557521,47.24476181,1181,1714,210,140
"663",725.03,-122.66652574,47.38169032,1191,2017,236,397
"664",725.04,-122.64118292,47.3508246,1201,1704,133,241
"665",725.05,-122.59849182,47.37741899,1212,3234,310,337
"666",725.06,-122.55690017,47.36248599,1221,1731,216,228
"667",725.07,-122.58517699,47.32961448,1231,1106,168,99
"668",726.01,-122.7555067,47.37580965,1241,2165,261,191
"669",726.02,-122.76468855,47.3084259,1251,1550,266,120
"670",726.03,-122.72678212,47.20379653,1261,1783,335,171
"671",728,-122.66558311,47.1034481,1271,2793,330,164
"673",729.03,-122.60440545,47.129424,1291,355,91,22
"675",729.06,-122.54528874,47.04271629,1312,219,108,0
"677",730.01,-122.50620675,46.96898411,1331,2295,307,130
"678",730.05,-122.39868467,46.97525817,1341,2352,251,183
"679",730.06,-122.41916341,46.89764816,1351,1362,211,150
"680",731.08,-122.33705051,47.09408439,1361,3321,415,503
"681",731.1,-122.25438799,47.13495787,1371,1956,253,162
"682",731.11,-122.27921111,47.1196081,1381,1949,173,189
"683",731.13,-122.26418365,47.0711326,1391,3079,334,450
"684",731.14,-122.37589354,47.03669612,1401,2244,296,309
"685",731.15,-122.35102275,47.03866393,1412,2073,196,224
"686",731.16,-122.31678061,47.03071917,1421,1479,167,163
"687",731.17,-122.32662213,46.96783028,1431,1548,184,183
"688",731.18,-122.24775616,47.03821469,1441,2038,188,214
"689",731.19,-122.21663913,46.97223077,1451,1460,202,205
"690",731.2,-122.30500609,47.11917096,1461,1647,252,188
"691",731.21,-122.30542722,47.10349977,1471,2041,216,223
"692",731.22,-122.27416906,47.10578639,1481,1995,207,300
"693",731.23,-122.25440097,47.10204277,1491,1990,220,215
"694",731.24,-122.30412438,47.06450666,1501,1603,225,291
"695",731.25,-122.31658195,47.07931408,1512,4072,446,377
"696",731.26,-122.30149347,47.09071845,1521,1651,275,167
"697",732,-122.12953969,46.84136448,1531,2446,301,186
"698",733.01,-122.23819538,47.22816665,1541,2676,245,301
"699",733.02,-122.23672839,47.19657653,1551,1776,255,196
"700",734.04,-122.30783045,47.18105601,1561,3285,386,346
"701",734.05,-122.28185965,47.17680124,1571,1763,320,404
"702",734.06,-122.26519081,47.18520011,1581,2417,317,217
"703",734.07,-122.29835927,47.1972203,1591,1834,195,375
"704",734.08,-122.31902404,47.19792226,1601,1724,180,205
"705",735,-122.27397216,47.23116527,1612,3311,253,446
"706",801.01,-122.64804832,47.59710363,2100,1146,260,86
"707",801.02,-122.63603123,47.5926725,399,2047,244,331
"708",802,-122.62127725,47.59760041,410,1382,279,39
"709",803,-122.621673,47.58167087,510,1409,222,259
"710",804,-122.59859023,47.58127545,610,1815,184,202
"711",805,-122.62322826,47.56631578,710,1015,160,113
"712",806,-122.64928141,47.57882584,810,2229,309,352
"713",807,-122.67214347,47.58470753,910,1672,234,205
"714",808,-122.68994631,47.58890488,1010,279,90,27
"715",809,-122.69991444,47.5642195,1110,1951,234,258
"716",810,-122.66858613,47.55406107,1210,1492,321,169
"717",811,-122.6575808,47.56496775,1310,1293,307,203
"718",812,-122.64285504,47.56718109,1410,1521,229,214
"720",901.01,-122.56718859,47.86139443,1610,2659,388,234
"721",901.02,-122.51660389,47.82138598,1710,2871,335,203
"722",902.01,-122.67170735,47.78344596,1810,1825,262,234
"723",902.02,-122.61390043,47.80261876,1910,2410,290,170
"724",903,-122.71602348,47.72504034,2010,629,136,36
"725",904,-122.68106609,47.70888033,2110,1863,289,221
"726",905.01,-122.65317578,47.73816825,2210,1399,231,196
"727",905.02,-122.62675658,47.74020921,2310,1834,268,197
"728",907,-122.52596148,47.68952764,2410,2514,207,371
"729",908,-122.56358344,47.6674934,2510,1735,158,130
"730",909,-122.51229358,47.6335902,2610,3444,302,209
"731",910,-122.53793902,47.6069434,2710,2873,313,107
"732",911,-122.62988481,47.68161973,2810,2141,228,263
"733",912.01,-122.70231995,47.64759672,2910,1611,208,193
"734",912.03,-122.66587857,47.67427837,3010,2934,440,550
"735",912.04,-122.67547134,47.64632604,3110,1645,213,259
"736",913.01,-122.80992194,47.62682695,3210,1790,216,127
"737",913.02,-122.74190168,47.65176621,3310,2657,197,260
"738",914,-122.706642,47.61335856,3410,1447,204,212
"739",915,-122.66897989,47.62733008,3510,1636,201,204
"740",916,-122.63970189,47.63577724,3610,2895,345,297
"741",917,-122.60870887,47.63618545,3710,3512,394,536
"742",918,-122.60482559,47.6087608,3810,1290,171,135
"743",919,-122.65471745,47.61050227,3910,1939,212,306
"744",920,-122.85390757,47.56322719,401,2645,306,321
"745",921,-122.72204553,47.49688494,411,2965,433,393
"746",922,-122.64598785,47.53120348,421,1902,340,334
"747",923,-122.62500754,47.51894022,431,2340,263,326
"748",924,-122.59641074,47.52127334,441,2843,361,364
"749",925,-122.59368346,47.5518439,451,2203,312,268
"750",926,-122.55381483,47.56159695,461,2683,321,345
"751",927.01,-122.56769687,47.49699177,471,2143,269,138
"752",927.04,-122.51847473,47.50713513,481,1252,223,109
"753",928.01,-122.61419513,47.48843937,491,1786,182,164
"754",928.02,-122.57538797,47.4474258,501,2294,278,350
"755",928.03,-122.58455192,47.41727286,511,1250,214,130
"756",929.01,-122.72569666,47.43849209,521,2497,350,461
"757",929.02,-122.64696625,47.43659348,531,2641,297,447
"758",9400,-122.51436388,47.75320744,541,1633,87,196
"763",9400.03,-122.34585924,47.22875294,1641,3756,231,494
"764",9400.04,-122.37455029,47.20506665,1651,3081,223,356
"765",9400.05,-122.37215485,47.27918985,1661,3023,190,339
"766",9400.06,-122.40122421,47.21539443,1671,599,80,116
"767",9400.07,-122.40262931,47.23217774,1681,1141,141,160
"768",9400.08,-122.39546054,47.29399997,1691,3258,171,458
"769",9400.09,-122.31276207,47.22974025,1701,1514,169,183
"770",9400.1,-122.30382278,47.20774841,1712,1714,197,300
"771",9400.11,-122.41600697,47.30113398,1721,2251,121,193
"772",9401,-122.58473544,47.72825465,551,2976,217,338
