Tract,Average of amount,Average of SqFt,,
23604,937423.1111,2147.472222,,
23700,1168139.979,2857.815534,,
23801,1067895.19,2012.175,,
23803,829719.7778,3621.130573,,
23804,3732009.833,15959.80337,,
23900,1819877.694,2971.189189,,
24000,1605783.209,2379,,
24100,3767811.273,4173.75,,
24200,3867046.158,3762.5,,
24300,1638945.956,2435.434783,,
24400,1478818.853,2459.942857,,
24500,1498778.868,2847.410256,,
24601,2059477.073,3399.756098,,
24602,2057186.683,3322.575,,
24701,832751.8286,2026.285714,,
24702,862633.9189,2544,,
24800,852266.8438,1814.558824,,
24901,1338827.359,2903.076923,,
24902,1024482.973,2674.421053,,
24903,1234321.86,3076.72093,,
25001,818728.2564,1702.515625,,
25003,1422278.974,3544.5,,
25005,1134843.125,3351.8125,,
25006,892208.7561,2460.804878,,
25101,432487.0323,1591.68254,,
25102,534245.1951,2033.5,,
25200,526786.5294,1887.648649,,
25301,813915.4,3017.953125,,
25302,505581.5618,2669.40708,,
25400,338471.6512,1325.222222,,
25500,421435.1143,1222.836066,,
25601,336156.05,1535.597561,,
25602,491554.0882,2052.161765,,
25701,373862.6563,2841.515152,,
25702,442555.925,1846.1,,
25803,323562.2326,1294.931818,,
25804,383365.8974,1549.769231,,
25805,384418.9189,1482.736842,,
25806,477134.2059,2409.842105,,
26001,491036.2439,1962.05,,
26002,406568.2821,1608.974359,,
26100,408433.1935,1730,,
26200,370420.0976,2531.727273,,
26300,399086.8515,3587.537037,,
26400,379230.7946,2758.170732,,
26500,384724.6024,1958.1,,
26600,436355.5172,1328.793103,,
26700,588940.8108,2086.459459,,
26801,431415.9677,1318.516129,,
26802,419429.3714,1579.657143,,
27000,365674.1944,1289.888889,,
27100,362233.6061,1454.151515,,
27200,404805.1515,1686.411765,,
27300,369974.9189,1723.513514,,
27400,364380.0278,1365.555556,,
27500,393314.0789,1395.026316,,
27600,546811.1944,2951.864865,,
27701,652735.7714,1849.27027,,
27702,663007.7,1928.45,,
27800,675611.1842,2230.184211,,
27900,500918.6364,1850.757576,,
28000,386130.7681,1579.670103,,
28100,447251.3529,3137.545455,,
28200,416852.8182,1987.151515,,
28300,389694.114,2867.378151,,
28402,311114.8684,1308.102564,,
28403,331435.382,3153.895833,,
28500,431810.6286,1750.136986,,
28600,748509.9143,2863.685714,,
28700,398789.25,1730.527778,,
28801,348787.7931,1513.366667,,
28802,406324.6111,1780.638889,,
28901,412166.7353,1869.717949,,
28902,357897.2697,2079.09901,,
29001,470153.9444,1964.916667,,
29003,359578.6957,2888.245902,,
29004,336344.3977,3003.247423,,
29101,339263.5614,1501,,
29102,341441.0882,1659.823529,,
29203,352358.697,1982.760331,,
29204,425419.8857,2126.542857,,
29205,269068.35,1143.512821,,
29206,299267.6375,5333.046296,,
29303,415287.4444,1682.292683,,
29304,466289,2131.861111,,
29305,423666.4286,10777.22857,,
29306,337376.6935,1682.870968,,
29307,433538.3846,1832.564103,,
29403,389124.6591,1995.377778,,
29405,424093.9348,2077.630435,,
29406,425923.9231,2129.564103,,
29407,293365.9697,1507.373134,,
29408,363547.4074,1690.62069,,
29502,390387.8,1843.928571,,
29503,379559.2833,5102.015385,,
29504,387716.3019,2830.375887,,
29601,325880.7273,1564.022727,,
29602,465162.3611,2508.675676,,
29700,399109.1345,2894.221374,,
29801,381850.9706,1891.771429,,
29802,387379.8649,1996.162162,,
29901,354734.5484,1709.393939,,
29902,444897.5,2226.789474,,
30003,371175.6744,1630.72973,,
30004,311835.2326,1412.232558,,
30005,290928.625,1464.325581,,
30006,296960.2708,1403.52,,
30100,408290.2075,2100.94,,
30201,283968.25,1446.291667,,
