"","x"
"1",17
"2",19
"3",20
"4",21
"5",22
"6",23
"7",24
"8",25
"9",334
"10",394
"11",397
"12",489
"13",491
"14",538
"15",541
"16",542
"17",583
"18",672
"19",674
"20",676
"21",719
"22",760
"23",762
"24",773
"25",759
"26",761
